fac_id,surveyed,stratum,fpc_fac,fpc_abs,wgt_abs,wgt_know_b,wgt_know_c,wgt_know_d,wgt_know_e,wgt_know_f,wgt_know_g,wgt_know_h,fpc_know_b,fpc_know_c,fpc_know_d,fpc_know_e,fpc_know_f,fpc_know_g,fpc_know_h,fpc_15,fpc_67,wgt_fac
42,1,5,0.7307692,0.36,57.473686,5.017544,5.017544,5.017544,5.017544,5.017544,2.150376,2.150376,0.27272728,0.27272728,0.27272728,0.27272728,0.27272728,0.6363636,0.6363636,0.27272728,0.6363636,1.3684211
43,1,1,0.21064301,1.0,23.182068,23.182068,23.182068,23.182068,23.182068,23.182068,23.182068,23.182068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.182068
45,1,4,0.32,0.5263158,187.18938,21.83876,21.83876,21.83876,21.83876,21.83876,10.91938,10.91938,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143,0.5714286,0.5714286,0.2857143,0.5714286,6.239646
46,1,1,0.21064301,1.0,15.440627,15.440627,15.440627,15.440627,15.440627,15.440627,7.7203135,7.7203135,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,7.7203135
47,1,1,0.21064301,1.0,11.727986,4.6911945,4.6911945,4.6911945,4.6911945,4.6911945,2.3455973,2.3455973,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,2.3455973
48,1,3,0.36619717,1.0,35.62899,4.8584986,4.8584986,4.8584986,4.8584986,4.8584986,3.886799,3.886799,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.8333333,0.8333333,0.6666667,0.8333333,3.2389991
49,1,5,0.7307692,0.4,62.94737,4.5978947,4.5978947,4.5978947,4.5978947,4.5978947,3.831579,3.831579,0.29761904,0.29761904,0.29761904,0.29761904,0.29761904,0.35714287,0.35714287,0.29761904,0.35714287,1.3684211
50,1,3,0.36619717,1.0,38.476948,7.6953897,7.6953897,7.6953897,7.6953897,7.6953897,3.8476949,3.8476949,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,3.8476949
51,1,1,0.21064301,1.0,14.827944,5.9311776,5.9311776,5.9311776,5.9311776,5.9311776,2.9655888,2.9655888,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,2.9655888
52,1,1,0.21064301,1.0,34.70887,20.825321,20.825321,20.825321,20.825321,20.825321,6.941774,6.941774,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,1.0,1.0,0.33333334,1.0,6.941774
